"district_code";"doses_administered";"doses_administered_over50";"pop";"pop_over50";"district";"Celková zaočkovanosť";"Zaočkovanosť nad 50 rokov";"joker";"next_joker"
"SK0422";112349;56584;238674;88624;"Košice I";0,470721570007625;0,638472648492508;"0";1022
"SK0423";112349;56584;238674;88624;"Košice II";0,470721570007625;0,638472648492508;"0";1022
"SK0424";112349;56584;238674;88624;"Košice III";0,470721570007625;0,638472648492508;"0";1022
"SK0425";112349;56584;238674;88624;"Košice IV";0,470721570007625;0,638472648492508;"0";1022
"SK0426";49396;24164;129543;39475;"Košice - okolie";0,381309680955358;0,61213426219126;"0";1495
"SK0427";40135;21673;110705;37381;"Michalovce";0,362540084007046;0,579786522564939;"0";2625
"SK0428";23324;12998;62208;21859;"Rožňava";0,374935699588477;0,594629214511185;"0";1211
"SK0429";8467;4467;22819;8137;"Sobrance";0,371050440422455;0,548973823276392;"0";823
"SK042A";36658;18771;99765;30802;"Spišská Nová Ves";0,367443492206686;0,609408479968833;"0";1251
"SK042B";38755;21028;105353;35480;"Trebišov";0,367858532742304;0,592671927846674;"0";2034
